LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303864.184258,328877.000,51578,4,EM,1,100,RB
1733303864.234258,328927.000,51578,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303864.284258,328977.000,51578,4,EM,1,100,PS
1733303864.334508,329027.250,51611,4,EM,1,100,RS
1733303864.384758,329077.500,51611,4,EM,1,100,RB
1733303864.435008,329127.750,51611,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303864.485259,329178.000,51611,4,EM,1,100,PS
1733303864.558759,329251.500,51650,4,EM,1,100,RS
1733303864.632259,329325.000,51650,4,EM,1,100,RB
1733303864.705759,329398.500,51650,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303864.779259,329472.000,51650,4,EM,1,100,PS
1733303864.829509,329522.250,51684,4,EM,1,100,RS
